url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,Length,BPM
https://www.billboard.com/charts/hot-100/2018-07-21,7/21/2018,10,Sad!,XXXTENTACION,Sad!XXXTENTACION,1,10,1,19,2:46,75
https://www.billboard.com/charts/hot-100/2018-07-28,7/28/2018,10,God's Plan,Drake,God's PlanDrake,1,6,1,26,3:18,77
https://www.billboard.com/charts/hot-100/2018-08-04,8/4/2018,10,Taste,Tyga Featuring Offset,TasteTyga Featuring Offset,1,13,10,9,3:52,98
https://www.billboard.com/charts/hot-100/2018-08-11,8/11/2018,10,Nice For What,Drake,Nice For WhatDrake,1,6,1,17,3:30,93
https://www.billboard.com/charts/hot-100/2018-08-18,8/18/2018,10,Boo'd Up,Ella Mai,Boo'd UpElla Mai,1,8,5,19,4:16,82
https://www.billboard.com/charts/hot-100/2018-08-25,8/25/2018,10,No Brainer,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo","No BrainerDJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",1,11,5,3,4:20,136
https://www.billboard.com/charts/hot-100/2018-09-01,9/1/2018,10,Taste,Tyga Featuring Offset,TasteTyga Featuring Offset,1,8,8,13,3:52,98
https://www.billboard.com/charts/hot-100/2018-09-08,9/8/2018,10,God Is A Woman,Ariana Grande,God Is A WomanAriana Grande,1,8,8,7,3:17,145
https://www.billboard.com/charts/hot-100/2018-09-15,9/15/2018,10,Taste,Tyga Featuring Offset,TasteTyga Featuring Offset,1,8,8,15,3:52,98
https://www.billboard.com/charts/hot-100/2018-09-22,9/22/2018,10,Love Lies,Khalid & Normani,Love LiesKhalid & Normani,1,11,9,30,3:21,144
https://www.billboard.com/charts/hot-100/2018-09-29,9/29/2018,10,Youngblood,5 Seconds Of Summer,Youngblood5 Seconds Of Summer,1,11,10,16,3:23,120
https://www.billboard.com/charts/hot-100/2018-10-06,10/6/2018,10,Youngblood,5 Seconds Of Summer,Youngblood5 Seconds Of Summer,1,10,10,17,3:23,120
https://www.billboard.com/charts/hot-100/2018-10-13,10/13/2018,10,Let It Fly,Lil Wayne Featuring Travis Scott,Let It FlyLil Wayne Featuring Travis Scott,1,,10,1,3:06,89
https://www.billboard.com/charts/hot-100/2018-10-20,10/20/2018,10,FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE6ix9ine Featuring Nicki Minaj & Murda Beatz,1,12,3,12,2:59,126
https://www.billboard.com/charts/hot-100/2018-10-27,10/27/2018,10,Shallow,Lady Gaga & Bradley Cooper,ShallowLady Gaga & Bradley Cooper,1,5,5,3,3:35,96
https://www.billboard.com/charts/hot-100/2018-11-03,11/3/2018,10,Love Lies,Khalid & Normani,Love LiesKhalid & Normani,1,14,9,36,3:21,144
https://www.billboard.com/charts/hot-100/2018-11-10,11/10/2018,10,Mo Bamba,Sheck Wes,Mo BambaSheck Wes,1,16,10,10,3:03,146
https://www.billboard.com/charts/hot-100/2018-11-17,11/17/2018,10,Drip Too Hard,Lil Baby & Gunna,Drip Too HardLil Baby & Gunna,1,8,4,8,2:25,113
https://www.billboard.com/charts/hot-100/2018-11-24,11/24/2018,10,Drip Too Hard,Lil Baby & Gunna,Drip Too HardLil Baby & Gunna,1,10,4,9,2:25,113
https://www.billboard.com/charts/hot-100/2018-12-01,12/1/2018,10,ZEZE,Kodak Black Featuring Travis Scott & Offset,ZEZEKodak Black Featuring Travis Scott & Offset,1,9,2,6,3:48,98
https://www.billboard.com/charts/hot-100/2018-12-08,12/8/2018,10,Lucid Dreams,Juice WRLD,Lucid DreamsJuice WRLD,1,5,2,29,3:59,84
https://www.billboard.com/charts/hot-100/2018-12-15,12/15/2018,10,Mo Bamba,Sheck Wes,Mo BambaSheck Wes,1,6,6,15,3:03,146
https://www.billboard.com/charts/hot-100/2018-12-22,12/22/2018,10,Girls Like You,Maroon 5 Featuring Cardi B,Girls Like YouMaroon 5 Featuring Cardi B,1,11,1,29,3:55,125
https://www.billboard.com/charts/hot-100/2018-12-29,12/29/2018,10,It's The Most Wonderful Time Of The Year,Andy Williams,It's The Most Wonderful Time Of The YearAndy Williams,3,13,10,8,2:31,101
