url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,WeeksonChart,Length,BPM
http://www.billboard.com/charts/hot-100/2015-01-03,1/3/2015,2,Take Me To Church,Hozier,Take Me To ChurchHozier,1,2,2,19,4:01,129
http://www.billboard.com/charts/hot-100/2015-01-10,1/10/2015,2,Uptown Funk!,Mark Ronson Featuring Bruno Mars,Uptown Funk!Mark Ronson Featuring Bruno Mars,1,3,2,7,3:29,115
http://www.billboard.com/charts/hot-100/2015-01-17,1/17/2015,2,Blank Space,Taylor Swift,Blank SpaceTaylor Swift,1,1,1,10,3:51,96
http://www.billboard.com/charts/hot-100/2015-01-24,1/24/2015,2,Blank Space,Taylor Swift,Blank SpaceTaylor Swift,1,2,1,11,3:51,96
http://www.billboard.com/charts/hot-100/2015-01-31,1/31/2015,2,Thinking Out Loud,Ed Sheeran,Thinking Out LoudEd Sheeran,1,4,2,15,4:41,79
http://www.billboard.com/charts/hot-100/2015-02-07,2/7/2015,2,Thinking Out Loud,Ed Sheeran,Thinking Out LoudEd Sheeran,1,2,2,16,4:41,79
http://www.billboard.com/charts/hot-100/2015-02-14,2/14/2015,2,Thinking Out Loud,Ed Sheeran,Thinking Out LoudEd Sheeran,1,2,2,17,4:41,79
http://www.billboard.com/charts/hot-100/2015-02-21,2/21/2015,2,Thinking Out Loud,Ed Sheeran,Thinking Out LoudEd Sheeran,1,2,2,18,4:41,79
http://www.billboard.com/charts/hot-100/2015-02-28,2/28/2015,2,Thinking Out Loud,Ed Sheeran,Thinking Out LoudEd Sheeran,1,2,2,19,4:41,79
http://www.billboard.com/charts/hot-100/2015-03-07,3/7/2015,2,Thinking Out Loud,Ed Sheeran,Thinking Out LoudEd Sheeran,1,2,2,20,4:41,79
http://www.billboard.com/charts/hot-100/2015-03-14,3/14/2015,2,Thinking Out Loud,Ed Sheeran,Thinking Out LoudEd Sheeran,1,2,2,21,4:41,79
http://www.billboard.com/charts/hot-100/2015-03-21,3/21/2015,2,Thinking Out Loud,Ed Sheeran,Thinking Out LoudEd Sheeran,1,2,2,22,4:41,79
http://www.billboard.com/charts/hot-100/2015-03-28,3/28/2015,2,Sugar,Maroon 5,SugarMaroon 5,1,3,2,9,3:55,120
http://www.billboard.com/charts/hot-100/2015-04-04,4/4/2015,2,Sugar,Maroon 5,SugarMaroon 5,1,2,2,10,3:55,120
http://www.billboard.com/charts/hot-100/2015-04-11,4/11/2015,2,Sugar,Maroon 5,SugarMaroon 5,1,2,2,11,3:55,120
http://www.billboard.com/charts/hot-100/2015-04-18,4/18/2015,2,Sugar,Maroon 5,SugarMaroon 5,1,2,2,12,3:55,120
http://www.billboard.com/charts/hot-100/2015-04-25,4/25/2015,2,Uptown Funk!,Mark Ronson Featuring Bruno Mars,Uptown Funk!Mark Ronson Featuring Bruno Mars,1,1,1,22,3:29,115
http://www.billboard.com/charts/hot-100/2015-05-02,5/2/2015,2,Uptown Funk!,Mark Ronson Featuring Bruno Mars,Uptown Funk!Mark Ronson Featuring Bruno Mars,1,2,1,23,3:29,115
http://www.billboard.com/charts/hot-100/2015-05-09,5/9/2015,2,Uptown Funk!,Mark Ronson Featuring Bruno Mars,Uptown Funk!Mark Ronson Featuring Bruno Mars,1,2,1,24,3:29,115
http://www.billboard.com/charts/hot-100/2015-05-16,5/16/2015,2,Trap Queen,Fetty Wap,Trap QueenFetty Wap,1,3,2,15,3:42,148
http://www.billboard.com/charts/hot-100/2015-05-23,5/23/2015,2,Trap Queen,Fetty Wap,Trap QueenFetty Wap,1,2,2,16,3:42,148
http://www.billboard.com/charts/hot-100/2015-05-30,5/30/2015,2,Trap Queen,Fetty Wap,Trap QueenFetty Wap,1,2,2,17,3:42,148
http://www.billboard.com/charts/hot-100/2015-06-06,6/6/2015,2,See You Again,Wiz Khalifa Featuring Charlie Puth,See You AgainWiz Khalifa Featuring Charlie Puth,1,1,1,11,3:49,80
http://www.billboard.com/charts/hot-100/2015-06-13,6/13/2015,2,Bad Blood,Taylor Swift Featuring Kendrick Lamar,Bad BloodTaylor Swift Featuring Kendrick Lamar,3,1,1,5,3:31,170
http://www.billboard.com/charts/hot-100/2015-06-20,6/20/2015,2,Bad Blood,Taylor Swift Featuring Kendrick Lamar,Bad BloodTaylor Swift Featuring Kendrick Lamar,3,2,1,6,3:31,170
http://www.billboard.com/charts/hot-100/2015-06-27,6/27/2015,2,Bad Blood,Taylor Swift Featuring Kendrick Lamar,Bad BloodTaylor Swift Featuring Kendrick Lamar,3,2,1,7,3:31,170
http://www.billboard.com/charts/hot-100/2015-07-04,7/4/2015,2,Bad Blood,Taylor Swift Featuring Kendrick Lamar,Bad BloodTaylor Swift Featuring Kendrick Lamar,3,2,1,8,3:31,170
http://www.billboard.com/charts/hot-100/2015-07-11,7/11/2015,2,Bad Blood,Taylor Swift Featuring Kendrick Lamar,Bad BloodTaylor Swift Featuring Kendrick Lamar,3,2,1,9,3:31,170
http://www.billboard.com/charts/hot-100/2015-07-18,7/18/2015,2,Cheerleader,OMI,CheerleaderOMI,1,3,2,11,3:00,118
http://www.billboard.com/charts/hot-100/2015-07-25,7/25/2015,2,See You Again,Wiz Khalifa Featuring Charlie Puth,See You AgainWiz Khalifa Featuring Charlie Puth,1,1,1,18,3:49,80
http://www.billboard.com/charts/hot-100/2015-08-01,8/1/2015,2,Can't Feel My Face,The Weeknd,Can't Feel My FaceThe Weeknd,1,3,2,6,3:33,108
http://www.billboard.com/charts/hot-100/2015-08-08,8/8/2015,2,Can't Feel My Face,The Weeknd,Can't Feel My FaceThe Weeknd,1,2,2,7,3:33,108
http://www.billboard.com/charts/hot-100/2015-08-15,8/15/2015,2,Can't Feel My Face,The Weeknd,Can't Feel My FaceThe Weeknd,1,2,2,8,3:33,108
http://www.billboard.com/charts/hot-100/2015-08-22,8/22/2015,2,Cheerleader,OMI,CheerleaderOMI,1,1,1,16,3:00,118
