url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,WeeksonChart,Length,BPM
http://www.billboard.com/charts/hot-100/2015-01-03,1/3/2015,5,Lips Are Movin,Meghan Trainor,Lips Are MovinMeghan Trainor,1,4,4,9,3:02,139
http://www.billboard.com/charts/hot-100/2015-01-10,1/10/2015,5,All About That Bass,Meghan Trainor,All About That BassMeghan Trainor,1,10,1,25,3:08,134
http://www.billboard.com/charts/hot-100/2015-01-17,1/17/2015,5,Lips Are Movin,Meghan Trainor,Lips Are MovinMeghan Trainor,1,4,4,11,3:02,139
http://www.billboard.com/charts/hot-100/2015-01-24,1/24/2015,5,I'm Not The Only One,Sam Smith,I'm Not The Only OneSam Smith,2,8,5,19,3:59,82
http://www.billboard.com/charts/hot-100/2015-01-31,1/31/2015,5,Shake It Off,Taylor Swift,Shake It OffTaylor Swift,1,9,1,22,3:39,160
http://www.billboard.com/charts/hot-100/2015-02-07,2/7/2015,5,Shake It Off,Taylor Swift,Shake It OffTaylor Swift,1,5,1,23,3:39,160
http://www.billboard.com/charts/hot-100/2015-02-14,2/14/2015,5,Sugar,Maroon 5,SugarMaroon 5,1,6,5,3,3:55,120
http://www.billboard.com/charts/hot-100/2015-02-21,2/21/2015,5,Blank Space,Taylor Swift,Blank SpaceTaylor Swift,1,4,1,15,3:51,96
http://www.billboard.com/charts/hot-100/2015-02-28,2/28/2015,5,Sugar,Maroon 5,SugarMaroon 5,1,4,4,5,3:55,120
http://www.billboard.com/charts/hot-100/2015-03-07,3/7/2015,5,Take Me To Church,Hozier,Take Me To ChurchHozier,1,3,2,28,4:01,129
http://www.billboard.com/charts/hot-100/2015-03-14,3/14/2015,5,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,FourFiveSecondsRihanna & Kanye West & Paul McCartney,1,6,4,6,3:08,103
http://www.billboard.com/charts/hot-100/2015-03-21,3/21/2015,5,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,FourFiveSecondsRihanna & Kanye West & Paul McCartney,1,5,4,7,3:08,103
http://www.billboard.com/charts/hot-100/2015-03-28,3/28/2015,5,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,FourFiveSecondsRihanna & Kanye West & Paul McCartney,1,5,4,8,3:08,103
http://www.billboard.com/charts/hot-100/2015-04-04,4/4/2015,5,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,FourFiveSecondsRihanna & Kanye West & Paul McCartney,1,5,4,9,3:08,103
http://www.billboard.com/charts/hot-100/2015-04-11,4/11/2015,5,Earned It (Fifty Shades Of Grey),The Weeknd,Earned It (Fifty Shades Of Grey)The Weeknd,1,6,5,14,4:37,120
http://www.billboard.com/charts/hot-100/2015-04-18,4/18/2015,5,Thinking Out Loud,Ed Sheeran,Thinking Out LoudEd Sheeran,1,3,2,26,4:41,79
http://www.billboard.com/charts/hot-100/2015-04-25,4/25/2015,5,Thinking Out Loud,Ed Sheeran,Thinking Out LoudEd Sheeran,1,5,2,27,4:41,79
http://www.billboard.com/charts/hot-100/2015-05-02,5/2/2015,5,Trap Queen,Fetty Wap,Trap QueenFetty Wap,1,4,4,13,3:42,148
http://www.billboard.com/charts/hot-100/2015-05-09,5/9/2015,5,Sugar,Maroon 5,SugarMaroon 5,1,4,2,15,3:55,120
http://www.billboard.com/charts/hot-100/2015-05-16,5/16/2015,5,Shut Up And Dance,WALK THE MOON,Shut Up And DanceWALK THE MOON,2,7,5,25,3:19,128
http://www.billboard.com/charts/hot-100/2015-05-23,5/23/2015,5,Shut Up And Dance,WALK THE MOON,Shut Up And DanceWALK THE MOON,2,5,5,26,3:19,128
http://www.billboard.com/charts/hot-100/2015-05-30,5/30/2015,5,Uptown Funk!,Mark Ronson Featuring Bruno Mars,Uptown Funk!Mark Ronson Featuring Bruno Mars,1,4,1,27,3:29,115
http://www.billboard.com/charts/hot-100/2015-06-06,6/6/2015,5,Earned It (Fifty Shades Of Grey),The Weeknd,Earned It (Fifty Shades Of Grey)The Weeknd,1,3,3,22,4:37,120
http://www.billboard.com/charts/hot-100/2015-06-13,6/13/2015,5,Uptown Funk!,Mark Ronson Featuring Bruno Mars,Uptown Funk!Mark Ronson Featuring Bruno Mars,1,6,1,29,3:29,115
http://www.billboard.com/charts/hot-100/2015-06-20,6/20/2015,5,Want To Want Me,Jason Derulo,Want To Want MeJason Derulo,1,7,5,13,3:27,114
http://www.billboard.com/charts/hot-100/2015-06-27,6/27/2015,5,Want To Want Me,Jason Derulo,Want To Want MeJason Derulo,1,5,5,14,3:27,114
http://www.billboard.com/charts/hot-100/2015-07-04,7/4/2015,5,Shut Up And Dance,WALK THE MOON,Shut Up And DanceWALK THE MOON,2,4,4,32,3:19,128
http://www.billboard.com/charts/hot-100/2015-07-11,7/11/2015,5,Shut Up And Dance,WALK THE MOON,Shut Up And DanceWALK THE MOON,2,5,4,33,3:19,128
http://www.billboard.com/charts/hot-100/2015-07-18,7/18/2015,5,Trap Queen,Fetty Wap,Trap QueenFetty Wap,1,4,2,24,3:42,148
http://www.billboard.com/charts/hot-100/2015-07-25,7/25/2015,5,Watch Me,Silento,Watch MeSilento,1,3,3,20,3:05,140
http://www.billboard.com/charts/hot-100/2015-08-01,8/1/2015,5,Watch Me,Silento,Watch MeSilento,1,5,3,21,3:05,140
